frame,value
0,31.334311
1,32.966934
2,33.049919
3,29.885733
4,31.204134
5,31.262228
6,29.214758
7,31.633621
8,31.628012
9,29.116081
10,31.225636
11,31.248148
12,28.823082
13,30.691738
14,30.955801
15,29.425301
16,30.863188
17,31.033501
18,29.245968
19,30.940470
20,30.949156
21,28.975489
22,31.553972
23,31.320904
24,31.634336
25,32.416801
26,32.057911
27,30.476341
28,32.362400
29,31.740557
30,30.238689
31,32.425568
32,32.056984
33,30.105679
34,32.174431
35,31.929567
36,29.688787
37,31.477839
38,31.550888
39,29.771458
40,30.974138
41,31.425541
42,29.332493
43,30.973412
44,31.255692
45,29.092913
46,31.494728
47,31.456125
48,31.476835
49,31.798859
average,30.998741
