frame,value
0,27.085609
1,27.979933
2,28.673815
3,25.878111
4,27.654112
5,28.226320
6,25.474394
7,27.813276
8,28.113726
9,25.450743
10,27.307497
11,28.106497
12,25.223948
13,27.226088
14,27.762888
15,25.270826
16,27.159229
17,28.080343
18,25.271582
19,27.043043
20,27.932159
21,25.250700
22,27.122446
23,28.185968
24,27.419643
25,28.368933
26,29.084383
27,26.128147
28,27.490734
29,28.618355
30,25.702589
31,27.519495
32,28.605219
33,25.638231
34,27.427355
35,28.306152
36,25.334019
37,27.418808
38,28.045225
39,25.831783
40,27.464394
41,28.446791
42,25.561918
43,27.206751
44,28.119013
45,25.434912
46,27.442007
47,28.426149
48,27.643774
49,28.588221
average,27.211325
