frame,value
0,42.554543
1,44.059929
2,42.549500
3,41.448620
4,43.722332
5,42.187977
6,41.053303
7,43.495949
8,42.050598
9,40.931988
10,43.545166
11,41.930809
12,40.858761
13,43.412548
14,41.731995
15,40.927025
16,43.310543
17,41.736313
18,40.836563
19,43.300617
20,41.656273
21,40.781975
22,43.335285
23,41.770420
24,42.585831
25,44.320923
26,42.863338
27,41.828419
28,43.891571
29,42.485077
30,41.386951
31,43.741196
32,42.366428
33,41.250095
34,43.610882
35,42.214806
36,41.152042
37,43.425468
38,42.134293
39,41.121044
40,43.373009
41,42.061584
42,41.036980
43,43.297298
44,41.983528
45,40.988892
46,43.292515
47,42.035572
48,42.607033
49,44.299427
average,42.370865
